Epoch: 73, Train Loss: 0.0536, Valid Loss: 0.2049, LR: 1.0000000000000004e-08
Epoch: 74, Train Loss: 0.0491, Valid Loss: 0.2001, LR: 1.0000000000000004e-08
Epoch: 75, Train Loss: 0.0505, Valid Loss: 0.2033, LR: 1.0000000000000004e-08
Epoch: 76, Train Loss: 0.0475, Valid Loss: 0.2053, LR: 1.0000000000000004e-08
Epoch: 77, Train Loss: 0.0522, Valid Loss: 0.2000, LR: 1.0000000000000004e-08
Epoch: 78, Train Loss: 0.0508, Valid Loss: 0.2034, LR: 1.0000000000000004e-08
Epoch: 79, Train Loss: 0.0493, Valid Loss: 0.2014, LR: 1.0000000000000004e-08
Epoch: 80, Train Loss: 0.0523, Valid Loss: 0.2019, LR: 1.0000000000000004e-08
Epoch: 81, Train Loss: 0.0574, Valid Loss: 0.2025, LR: 1.0000000000000004e-08
Epoch: 82, Train Loss: 0.0530, Valid Loss: 0.2046, LR: 1.0000000000000004e-08
Epoch: 83, Train Loss: 0.0535, Valid Loss: 0.2039, LR: 1.0000000000000004e-08
Epoch: 84, Train Loss: 0.0533, Valid Loss: 0.2033, LR: 1.0000000000000004e-08
Epoch: 85, Train Loss: 0.0544, Valid Loss: 0.2047, LR: 1.0000000000000004e-08
Epoch: 86, Train Loss: 0.0551, Valid Loss: 0.2063, LR: 1.0000000000000004e-08
Epoch: 87, Train Loss: 0.0505, Valid Loss: 0.2041, LR: 1.0000000000000004e-08
Epoch: 88, Train Loss: 0.0569, Valid Loss: 0.2044, LR: 1.0000000000000004e-08
Epoch: 89, Train Loss: 0.0537, Valid Loss: 0.1992, LR: 1.0000000000000004e-08
Epoch: 90, Train Loss: 0.0528, Valid Loss: 0.2047, LR: 1.0000000000000004e-08
Epoch: 91, Train Loss: 0.0537, Valid Loss: 0.2056, LR: 1.0000000000000004e-08
Epoch: 92, Train Loss: 0.0511, Valid Loss: 0.2060, LR: 1.0000000000000004e-08
Epoch: 93, Train Loss: 0.0511, Valid Loss: 0.2065, LR: 1.0000000000000004e-08
Epoch: 94, Train Loss: 0.0551, Valid Loss: 0.2030, LR: 1.0000000000000004e-08
Epoch: 95, Train Loss: 0.0524, Valid Loss: 0.2070, LR: 1.0000000000000004e-08
Epoch: 96, Train Loss: 0.0525, Valid Loss: 0.2030, LR: 1.0000000000000004e-08
Epoch: 97, Train Loss: 0.0538, Valid Loss: 0.2025, LR: 1.0000000000000004e-08
Epoch: 98, Train Loss: 0.0518, Valid Loss: 0.2044, LR: 1.0000000000000004e-08
Epoch: 99, Train Loss: 0.0563, Valid Loss: 0.2036, LR: 1.0000000000000004e-08
Epoch: 100, Train Loss: 0.0536, Valid Loss: 0.2014, LR: 1.0000000000000004e-08
Test Loss: 0.2024
