nohup: ignoring input
Train shape: torch.Size([14031, 5, 64, 32])
Epoch: 70, Train Loss: 0.81273, Valid Loss: 1.26382, EPS: 0.3610000000000001
Epoch: 71, Train Loss: 0.81336, Valid Loss: 1.26329, EPS: 0.3520000000000001
Epoch: 72, Train Loss: 0.81351, Valid Loss: 1.26250, EPS: 0.343
Epoch: 73, Train Loss: 0.81238, Valid Loss: 1.26391, EPS: 0.334
Epoch: 74, Train Loss: 0.81263, Valid Loss: 1.26463, EPS: 0.325
Epoch: 75, Train Loss: 0.81225, Valid Loss: 1.26322, EPS: 0.316
Epoch: 76, Train Loss: 0.81246, Valid Loss: 1.26034, EPS: 0.307
Epoch: 77, Train Loss: 0.81293, Valid Loss: 1.26431, EPS: 0.298
Epoch: 78, Train Loss: 0.81309, Valid Loss: 1.26286, EPS: 0.289
Epoch: 79, Train Loss: 0.81312, Valid Loss: 1.26258, EPS: 0.27999999999999997
Epoch: 80, Train Loss: 0.81263, Valid Loss: 1.26319, EPS: 0.27099999999999996
Epoch: 81, Train Loss: 0.81236, Valid Loss: 1.26281, EPS: 0.26200000000000007
Epoch: 82, Train Loss: 0.81296, Valid Loss: 1.26324, EPS: 0.25300000000000006
Epoch: 83, Train Loss: 0.81323, Valid Loss: 1.26315, EPS: 0.24400000000000005
Epoch: 84, Train Loss: 0.81328, Valid Loss: 1.26344, EPS: 0.23500000000000004
Epoch: 85, Train Loss: 0.81270, Valid Loss: 1.26322, EPS: 0.22600000000000003
Epoch: 86, Train Loss: 0.81283, Valid Loss: 1.26295, EPS: 0.21700000000000003
Epoch: 87, Train Loss: 0.81278, Valid Loss: 1.26221, EPS: 0.20800000000000002
Epoch: 88, Train Loss: 0.81254, Valid Loss: 1.26353, EPS: 0.199
Epoch: 89, Train Loss: 0.81273, Valid Loss: 1.26341, EPS: 0.19
Epoch: 90, Train Loss: 0.81349, Valid Loss: 1.26239, EPS: 0.181
Epoch: 91, Train Loss: 0.81302, Valid Loss: 1.26232, EPS: 0.172
Epoch: 92, Train Loss: 0.81332, Valid Loss: 1.26436, EPS: 0.16299999999999998
Epoch: 93, Train Loss: 0.81293, Valid Loss: 1.26430, EPS: 0.15400000000000005
Epoch: 94, Train Loss: 0.81247, Valid Loss: 1.26165, EPS: 0.14500000000000005
Epoch: 95, Train Loss: 0.81234, Valid Loss: 1.26361, EPS: 0.13600000000000004
Epoch: 96, Train Loss: 0.81316, Valid Loss: 1.26314, EPS: 0.12700000000000003
Epoch: 97, Train Loss: 0.81310, Valid Loss: 1.26253, EPS: 0.11800000000000002
Epoch: 98, Train Loss: 0.81262, Valid Loss: 1.26418, EPS: 0.10900000000000001
Epoch: 99, Train Loss: 0.81387, Valid Loss: 1.26187, EPS: 0.1
Test Loss: 1.26407
Test Loss: 1.26086
