nohup: ignoring input
torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Fine Tuning Both
Epoch: 30, Alpha: 0.74, Total Train Loss: 0.70, Contrastive Train Loss: 0.83, Recon Train Loss: 0.31, Total Valid Loss: 1.34, Contrastive Valid Loss: 1.67, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 31, Alpha: 0.73, Total Train Loss: 0.70, Contrastive Train Loss: 0.84, Recon Train Loss: 0.31, Total Valid Loss: 1.29, Contrastive Valid Loss: 1.62, Recon Valid Loss: 0.38, Learning Rate: 0.001
Epoch: 32, Alpha: 0.73, Total Train Loss: 0.68, Contrastive Train Loss: 0.82, Recon Train Loss: 0.31, Total Valid Loss: 1.27, Contrastive Valid Loss: 1.61, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 33, Alpha: 0.72, Total Train Loss: 0.68, Contrastive Train Loss: 0.83, Recon Train Loss: 0.31, Total Valid Loss: 1.26, Contrastive Valid Loss: 1.60, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 34, Alpha: 0.71, Total Train Loss: 0.68, Contrastive Train Loss: 0.82, Recon Train Loss: 0.31, Total Valid Loss: 1.28, Contrastive Valid Loss: 1.65, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 35, Alpha: 0.70, Total Train Loss: 0.66, Contrastive Train Loss: 0.81, Recon Train Loss: 0.31, Total Valid Loss: 1.22, Contrastive Valid Loss: 1.57, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 36, Alpha: 0.70, Total Train Loss: 0.66, Contrastive Train Loss: 0.81, Recon Train Loss: 0.31, Total Valid Loss: 1.27, Contrastive Valid Loss: 1.67, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 37, Alpha: 0.69, Total Train Loss: 0.65, Contrastive Train Loss: 0.81, Recon Train Loss: 0.31, Total Valid Loss: 1.25, Contrastive Valid Loss: 1.65, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 38, Alpha: 0.68, Total Train Loss: 0.65, Contrastive Train Loss: 0.81, Recon Train Loss: 0.31, Total Valid Loss: 1.23, Contrastive Valid Loss: 1.63, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 39, Alpha: 0.68, Total Train Loss: 0.65, Contrastive Train Loss: 0.81, Recon Train Loss: 0.31, Total Valid Loss: 1.21, Contrastive Valid Loss: 1.61, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 40, Alpha: 0.67, Total Train Loss: 0.64, Contrastive Train Loss: 0.80, Recon Train Loss: 0.31, Total Valid Loss: 1.21, Contrastive Valid Loss: 1.62, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 41, Alpha: 0.66, Total Train Loss: 0.64, Contrastive Train Loss: 0.80, Recon Train Loss: 0.31, Total Valid Loss: 1.18, Contrastive Valid Loss: 1.58, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 42, Alpha: 0.66, Total Train Loss: 0.63, Contrastive Train Loss: 0.79, Recon Train Loss: 0.31, Total Valid Loss: 1.20, Contrastive Valid Loss: 1.63, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 43, Alpha: 0.65, Total Train Loss: 0.62, Contrastive Train Loss: 0.79, Recon Train Loss: 0.31, Total Valid Loss: 1.17, Contrastive Valid Loss: 1.60, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 44, Alpha: 0.64, Total Train Loss: 0.62, Contrastive Train Loss: 0.79, Recon Train Loss: 0.31, Total Valid Loss: 1.19, Contrastive Valid Loss: 1.64, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 45, Alpha: 0.64, Total Train Loss: 0.62, Contrastive Train Loss: 0.79, Recon Train Loss: 0.31, Total Valid Loss: 1.13, Contrastive Valid Loss: 1.56, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 46, Alpha: 0.63, Total Train Loss: 0.61, Contrastive Train Loss: 0.79, Recon Train Loss: 0.31, Total Valid Loss: 1.13, Contrastive Valid Loss: 1.58, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 47, Alpha: 0.63, Total Train Loss: 0.60, Contrastive Train Loss: 0.78, Recon Train Loss: 0.31, Total Valid Loss: 1.12, Contrastive Valid Loss: 1.57, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 48, Alpha: 0.62, Total Train Loss: 0.61, Contrastive Train Loss: 0.79, Recon Train Loss: 0.31, Total Valid Loss: 1.09, Contrastive Valid Loss: 1.54, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 49, Alpha: 0.61, Total Train Loss: 0.60, Contrastive Train Loss: 0.78, Recon Train Loss: 0.31, Total Valid Loss: 1.12, Contrastive Valid Loss: 1.60, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 50, Alpha: 0.61, Total Train Loss: 0.60, Contrastive Train Loss: 0.78, Recon Train Loss: 0.31, Total Valid Loss: 1.10, Contrastive Valid Loss: 1.57, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 51, Alpha: 0.60, Total Train Loss: 0.60, Contrastive Train Loss: 0.79, Recon Train Loss: 0.31, Total Valid Loss: 1.04, Contrastive Valid Loss: 1.50, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 52, Alpha: 0.59, Total Train Loss: 0.58, Contrastive Train Loss: 0.77, Recon Train Loss: 0.30, Total Valid Loss: 1.08, Contrastive Valid Loss: 1.56, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 53, Alpha: 0.59, Total Train Loss: 0.58, Contrastive Train Loss: 0.77, Recon Train Loss: 0.30, Total Valid Loss: 1.05, Contrastive Valid Loss: 1.53, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 54, Alpha: 0.58, Total Train Loss: 0.57, Contrastive Train Loss: 0.76, Recon Train Loss: 0.30, Total Valid Loss: 1.10, Contrastive Valid Loss: 1.62, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 55, Alpha: 0.58, Total Train Loss: 0.57, Contrastive Train Loss: 0.77, Recon Train Loss: 0.30, Total Valid Loss: 1.06, Contrastive Valid Loss: 1.57, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 56, Alpha: 0.57, Total Train Loss: 0.56, Contrastive Train Loss: 0.76, Recon Train Loss: 0.30, Total Valid Loss: 1.06, Contrastive Valid Loss: 1.57, Recon Valid Loss: 0.37, Learning Rate: 0.001
Epoch: 57, Alpha: 0.57, Total Train Loss: 0.56, Contrastive Train Loss: 0.76, Recon Train Loss: 0.30, Total Valid Loss: 1.02, Contrastive Valid Loss: 1.52, Recon Valid Loss: 0.36, Learning Rate: 0.001
Epoch: 58, Alpha: 0.56, Total Train Loss: 0.56, Contrastive Train Loss: 0.76, Recon Train Loss: 0.30, Total Valid Loss: 1.02, Contrastive Valid Loss: 1.54, Recon Valid Loss: 0.36, Learning Rate: 0.001
Epoch: 59, Alpha: 0.55, Total Train Loss: 0.56, Contrastive Train Loss: 0.76, Recon Train Loss: 0.30, Total Valid Loss: 1.03, Contrastive Valid Loss: 1.56, Recon Valid Loss: 0.36, Learning Rate: 0.001
Epoch: 60, Alpha: 0.55, Total Train Loss: 0.55, Contrastive Train Loss: 0.75, Recon Train Loss: 0.30, Total Valid Loss: 1.00, Contrastive Valid Loss: 1.51, Recon Valid Loss: 0.36, Learning Rate: 0.001
Epoch: 61, Alpha: 0.54, Total Train Loss: 0.54, Contrastive Train Loss: 0.75, Recon Train Loss: 0.30, Total Valid Loss: 1.01, Contrastive Valid Loss: 1.55, Recon Valid Loss: 0.36, Learning Rate: 0.001
Epoch: 62, Alpha: 0.54, Total Train Loss: 0.54, Contrastive Train Loss: 0.75, Recon Train Loss: 0.30, Total Valid Loss: 0.99, Contrastive Valid Loss: 1.53, Recon Valid Loss: 0.36, Learning Rate: 0.001
Epoch: 63, Alpha: 0.53, Total Train Loss: 0.53, Contrastive Train Loss: 0.74, Recon Train Loss: 0.30, Total Valid Loss: 1.01, Contrastive Valid Loss: 1.58, Recon Valid Loss: 0.36, Learning Rate: 0.001
Epoch: 64, Alpha: 0.53, Total Train Loss: 0.53, Contrastive Train Loss: 0.74, Recon Train Loss: 0.30, Total Valid Loss: 0.98, Contrastive Valid Loss: 1.54, Recon Valid Loss: 0.36, Learning Rate: 0.001
Epoch: 65, Alpha: 0.52, Total Train Loss: 0.53, Contrastive Train Loss: 0.75, Recon Train Loss: 0.30, Total Valid Loss: 0.96, Contrastive Valid Loss: 1.51, Recon Valid Loss: 0.36, Learning Rate: 0.001
